IMO,MMSI,ship_name,built_year,tanker_class,capacity_cmb,registered_country,is_capacity_estimated,total_LNG,delivery_counts,total_distance,first_delivery_record,last_delivery_record
9236418,256664000,CASTILLO DE VILLALBA,2003,Standard  Conventional LNG Carriers,135000,Malta,0,0,0,0,,
9433717,215739000,CASTILLO SANTISTEBAN,2010,Large Conventional LNG Carriers,173673,Malta,0,3126114,18,382352,2020-03-28,2024-10-29
9864796,538009123,CELSIUS CANBERRA,2021,Large Conventional LNG Carriers,170723,Marshall Islands,1,2390122,14,322919,2021-04-09,2024-07-18
9878723,538009151,CELSIUS CAROLINA,2021,Large Conventional LNG Carriers,180000,Marshall Islands,0,2880000,16,393960,2021-11-11,2024-10-13
9878711,538009152,CELSIUS CHARLOTTE,2021,Large Conventional LNG Carriers,180000,Marshall Islands,0,2880000,16,406990,2021-08-14,2024-04-27
9864784,538009022,CELSIUS COPENHAGEN,2020,Large Conventional LNG Carriers,180000,Marshall Islands,0,3420000,19,410379,2021-03-02,2024-05-23
9945435,538010515,CELSIUS GENEVA,2023,Large Conventional LNG Carriers,180000,Marshall Islands,0,360000,2,58902,2023-09-10,2023-12-02
9324344,311006300,CHEIKH BOUAMAMA,2008,Small LNG Carriers,75500,Bahamas,0,8154000,108,235958,2020-02-16,2024-09-14
9324332,309979000,CHEIKH EL MOKRANI,2007,Small LNG Carriers,75500,Bahamas,0,9286500,123,263508,2020-01-10,2024-09-21
9737187,352002442,CHRIS. DE MARGERIE,2016,Large Conventional LNG Carriers,170000,Panama,0,3230000,19,306564,2023-02-26,2024-07-27
9886744,229416000,CLEAN COPANO,2022,Large Conventional LNG Carriers,180000,Malta,0,1260000,7,195975,2022-10-03,2024-10-14
9943487,256225000,CLEAN DESTINY,2023,Large Conventional LNG Carriers,200000,Malta,0,800000,4,98913,2024-02-01,2024-06-28
9323687,538002742,CLEAN ENERGY,2007,Standard  Conventional LNG Carriers,149700,Marshall Islands,0,1347300,9,247793,2020-12-04,2024-05-10
9655444,256083000,CLEAN HORIZON,2015,Large Conventional LNG Carriers,161870,Malta,0,1942440,12,216164,2020-11-05,2023-12-26
9637492,538005350,CLEAN OCEAN,2014,Large Conventional LNG Carriers,162000,Marshall Islands,0,2592000,16,355235,2020-03-11,2024-12-18
9637507,538005351,CLEAN PLANET,2014,Large Conventional LNG Carriers,161814,Marshall Islands,0,809070,5,171702,2020-07-27,2022-10-30
9655456,256245000,CLEAN VISION,2016,Large Conventional LNG Carriers,161870,Malta,0,1456830,9,320793,2021-10-22,2024-10-07
9869306,215583000,COBIA LNG,2021,Large Conventional LNG Carriers,172717,Malta,1,1899887,11,264036,2021-07-23,2024-08-23
9861031,215567000,COOL DISCOVERER,2020,Large Conventional LNG Carriers,174000,Malta,0,4176000,24,466835,2021-02-07,2024-08-13
9640023,229796000,COOL EXPLORER,2015,Large Conventional LNG Carriers,160000,Malta,0,2400000,15,274104,2020-01-12,2024-04-19
9333591,256056000,COOL RIDER,2007,Standard  Conventional LNG Carriers,155000,Malta,0,930000,6,88943,2023-02-16,2024-04-30
9333618,256195000,COOL ROVER,2008,Standard  Conventional LNG Carriers,155000,Malta,0,2015000,13,184820,2022-11-07,2024-12-31
9636797,229673000,COOL RUNNER,2014,Large Conventional LNG Carriers,160000,Malta,0,2720000,17,367976,2020-04-04,2024-01-24
9636785,229553000,COOL VOYAGER,2013,Large Conventional LNG Carriers,160000,Malta,0,2400000,15,295840,2020-05-27,2024-05-09
9693719,244535000,CORAL ENCANTO,2018,Small LNG Carriers,34575,Netherlands,1,0,0,0,,
9783124,244090097,CORAL ENERGICE,2018,Small LNG Carriers,18000,Netherlands,0,2610000,145,306310,2020-01-07,2024-12-31
9617698,246878000,CORAL ENERGY,2013,Small LNG Carriers,22969,Netherlands,1,1424078,62,172952,2020-10-16,2024-04-23
9919890,246133000,CORAL NORDIC,2022,Small LNG Carriers,30000,Netherlands,0,1620000,54,283082,2023-03-05,2024-12-31
9491812,311038400,CUBAL,2012,Large Conventional LNG Carriers,160000,Bahamas,0,160000,1,50129,2024-10-20,2024-10-20
9874454,563125300,DIAMOND GAS CRYSTAL,2021,Large Conventional LNG Carriers,174000,Singapore,0,2262000,13,380963,2021-08-01,2024-04-05
9810020,563158500,DIAMOND GAS SAKURA,2019,Large Conventional LNG Carriers,165000,Singapore,0,1815000,11,315204,2022-07-19,2024-04-27
9874466,563125700,DIAMOND GAS VICTORIA,2021,Large Conventional LNG Carriers,174000,Singapore,0,3132000,18,489641,2021-09-17,2024-12-09
9085637,538009745,DOHA,1999,Standard  Conventional LNG Carriers,137262,Marshall Islands,0,2607978,19,285000,2022-02-25,2024-04-26
9863182,215578000,DORADO LNG,2020,Large Conventional LNG Carriers,174000,Malta,0,2610000,15,360818,2021-05-18,2024-08-05
9750696,311000548,EDUARD TOLL,2017,Large Conventional LNG Carriers,173400,Bahamas,0,10577400,61,941953,2020-02-03,2024-12-23
9334076,309201000,EJNAN,2007,Standard  Conventional LNG Carriers,145000,Bahamas,0,4060000,28,291290,2020-06-04,2024-03-29
9884473,228415700,ELISA AQUILA,2022,Large Conventional LNG Carriers,174000,France,0,1566000,9,219215,2022-04-22,2024-08-04
9852975,228385600,ELISA LARUS,2020,Large Conventional LNG Carriers,176190,France,1,3699990,21,492865,2020-07-27,2024-11-11
9649328,256647000,ENERGY ATLANTIC,2015,Large Conventional LNG Carriers,159700,Malta,0,3353700,21,449995,2020-03-14,2024-01-29
9854624,538008879,ENERGY ENDEAVOUR,2021,Large Conventional LNG Carriers,170000,Marshall Islands,0,2550000,15,393886,2021-04-19,2024-05-27
9540089,538010445,ENERGY FIDELITY,2023,Large Conventional LNG Carriers,174000,Marshall Islands,0,696000,4,121778,2023-09-09,2024-05-21
9752565,431776000,ENERGY GLORY,2019,Large Conventional LNG Carriers,166686,Japan,0,1500174,9,150037,2020-01-08,2024-11-05
9758832,431048000,ENERGY INNOVATOR,2019,Large Conventional LNG Carriers,165000,Japan,0,660000,4,58822,2022-11-13,2024-07-14
9859739,538008877,ENERGY INTEGRITY,2021,Large Conventional LNG Carriers,170000,Marshall Islands,0,2210000,13,269174,2021-07-13,2024-04-12
9881201,538008876,ENERGY INTELLIGENCE,2021,Large Conventional LNG Carriers,174000,Marshall Islands,0,2784000,16,316568,2021-09-02,2024-05-17
9736092,431540000,ENERGY LIBERTY,2018,Large Conventional LNG Carriers,165000,Japan,0,495000,3,62958,2020-03-11,2021-07-08
9854612,538008878,ENERGY PACIFIC,2020,Large Conventional LNG Carriers,170000,Marshall Islands,0,2380000,14,386579,2020-12-18,2024-09-17
9758844,354114000,ENERGY UNIVERSE,2019,Large Conventional LNG Carriers,165000,Panama,0,495000,3,112568,2021-05-04,2023-09-22
9230050,205421000,EXCALIBUR,2002,Standard  Conventional LNG Carriers,135273,Belgium,0,0,0,383,,
9768370,212660000,FEDOR LITKE,2017,Large Conventional LNG Carriers,173000,Cyprus,0,11072000,64,901132,2020-02-04,2024-12-27
9851634,538008816,FLEX ARTEMIS,2020,Large Conventional LNG Carriers,174000,Marshall Islands,0,2610000,15,378551,2020-10-25,2024-08-13
9857365,538008764,FLEX AURORA,2020,Large Conventional LNG Carriers,174000,Marshall Islands,0,2610000,15,341877,2021-02-05,2024-02-22
9825427,538008205,FLEX CONSTELLATION,2019,Large Conventional LNG Carriers,174000,Marshall Islands,0,3828000,22,499556,2020-03-06,2024-05-25
9709025,538007621,FLEX RANGER,2018,Large Conventional LNG Carriers,170000,Marshall Islands,0,4080000,24,574099,2020-01-30,2024-08-08
9862475,538009179,FLEX VIGILANT,2021,Large Conventional LNG Carriers,175000,Marshall Islands,0,2100000,12,261793,2021-08-01,2024-04-21
9862463,538009058,FLEX VOLUNTEER,2021,Large Conventional LNG Carriers,175000,Marshall Islands,0,2275000,13,286287,2021-03-12,2024-05-29
9360817,538003101,FRAIHA,2008,Q-Flex,210152,Marshall Islands,0,7985776,38,587566,2020-02-23,2024-10-21
9275359,229443000,FUJI LNG,2004,Standard  Conventional LNG Carriers,145494,Malta,0,1018458,7,175495,2020-02-13,2023-07-03
9256200,311605000,FUWAIRIT,2004,Standard  Conventional LNG Carriers,138262,Bahamas,0,5392218,39,563409,2020-05-07,2024-11-14
9877145,209997000,GAIL BHUWAN,2021,Large Conventional LNG Carriers,174000,Cyprus,0,870000,5,139195,2022-11-13,2024-11-01
9864928,310806000,GASLOG GALVESTON,2021,Large Conventional LNG Carriers,180000,Bermuda,0,2520000,14,335575,2021-03-07,2024-05-01
9864916,310800000,GASLOG GEORGETOWN,2020,Large Conventional LNG Carriers,180000,Bermuda,0,1800000,10,304022,2021-03-24,2024-04-23
9744025,310779000,GASLOG GLADSTONE,2019,Large Conventional LNG Carriers,174000,Bermuda,0,4002000,23,464356,2020-04-20,2024-05-10
9687021,310744000,GASLOG GLASGOW,2016,Large Conventional LNG Carriers,174000,Bermuda,0,1914000,11,286775,2020-02-03,2023-06-21
9748904,310773000,GASLOG HONGKONG,2018,Large Conventional LNG Carriers,174000,Bermuda,0,3828000,22,426961,2020-02-18,2024-05-02
9748899,310772000,GASLOG HOUSTON,2018,Large Conventional LNG Carriers,174000,Bermuda,0,2784000,16,320558,2020-02-06,2024-05-01
9600530,310652000,GASLOG SANTIAGO,2013,Standard  Conventional LNG Carriers,155000,Bermuda,0,1550000,10,246676,2020-02-27,2024-05-11
9626273,310657000,GASLOG SYDNEY,2013,Standard  Conventional LNG Carriers,151900,Bermuda,0,2126600,14,288736,2020-03-31,2024-05-16
9853137,310786000,GASLOG WALES,2020,Large Conventional LNG Carriers,180000,Bermuda,0,2700000,15,365796,2020-12-06,2024-05-25
9816763,241662000,GASLOG WARSAW,2019,Large Conventional LNG Carriers,180000,Greece,0,5040000,28,530183,2020-01-26,2024-04-08
9876660,310817000,GASLOG WELLINGTON,2021,Large Conventional LNG Carriers,174000,Bermuda,0,2436000,14,385138,2022-03-10,2024-04-30
9855812,310795000,GASLOG WESTMINSTER,2020,Large Conventional LNG Carriers,171362,Bermuda,1,4112688,24,462639,2020-09-01,2024-07-15
9876737,310816000,GASLOG WINCHESTER,2021,Large Conventional LNG Carriers,174000,Bermuda,0,1740000,10,245261,2022-04-03,2024-04-20
9819650,310787000,GASLOG WINDSOR,2020,Large Conventional LNG Carriers,180000,Bermuda,0,2700000,15,324662,2020-05-19,2024-10-03
9768382,212770000,GEORGIY BRUSILOV,2018,Large Conventional LNG Carriers,173000,Cyprus,0,10553000,61,932158,2020-01-28,2024-12-27
9750749,311000633,GEORGIY USHAKOV,2019,Large Conventional LNG Carriers,170000,Bahamas,0,11390000,67,941605,2020-01-22,2024-12-24
9038452,636010183,GHASHA,1995,Standard  Conventional LNG Carriers,137100,Liberia,0,4798500,35,477921,2020-03-06,2024-12-18
9845013,538008899,GLOBAL ENERGY,2020,Large Conventional LNG Carriers,173400,Marshall Islands,0,2947800,17,379674,2020-07-14,2024-03-01
9880465,538009405,GLOBAL SEA SPIRIT,2021,Large Conventional LNG Carriers,174000,Marshall Islands,0,1914000,11,288073,2022-01-08,2024-03-17
9880477,538009406,GLOBAL SEALINE,2022,Large Conventional LNG Carriers,174000,Marshall Islands,0,2610000,15,357203,2022-03-27,2024-10-14
9859741,538009028,GLOBAL STAR,2021,Large Conventional LNG Carriers,173000,Marshall Islands,0,2249000,13,239921,2021-07-06,2024-02-21
9253105,538002656,GOLAR ARCTIC,2003,Standard  Conventional LNG Carriers,137680,Marshall Islands,0,1239120,9,164097,2020-06-09,2024-02-14
9624926,538004985,GOLAR CRYSTAL,2014,Standard  Conventional LNG Carriers,154948,Marshall Islands,0,2634116,17,301494,2020-05-10,2024-04-21
9637325,538004976,GOLAR ICE,2015,Large Conventional LNG Carriers,166000,Marshall Islands,0,1992000,12,186741,2020-01-17,2023-10-01
9320374,538002609,GOLAR MARIA,2006,Standard  Conventional LNG Carriers,145958,Marshall Islands,0,1459580,10,275913,2020-03-24,2024-05-25
9540716,432935000,GRACE DAHLIA,2013,Large Conventional LNG Carriers,159764,Japan,1,1757404,11,239088,2020-05-01,2024-02-14
9884174,311001072,GRACE EMILIA,2021,Large Conventional LNG Carriers,174000,Bahamas,0,348000,2,66637,2022-01-05,2022-01-30
9922988,228421700,GRAZYNA GESICKA,2023,Large Conventional LNG Carriers,174000,France,0,870000,5,105466,2023-06-30,2024-08-25
9878888,563138800,GUI YING,2021,Large Conventional LNG Carriers,174000,Singapore,0,2784000,16,381887,2021-11-29,2024-12-31
9872999,215684000,HELLAS ATHINA,2021,Large Conventional LNG Carriers,174000,Malta,0,1740000,10,196214,2021-11-01,2024-07-20
9872987,215685000,HELLAS DIANA,2021,Large Conventional LNG Carriers,174000,Malta,0,2436000,14,389987,2021-06-17,2024-08-27
9176010,636023867,HL SUR,2000,Standard  Conventional LNG Carriers,138200,Liberia,0,138200,1,21417,2024-05-16,2024-05-16
9250725,538008396,HONGKONG ENERGY,2004,Standard  Conventional LNG Carriers,138000,Marshall Islands,0,1380000,10,176975,2020-03-18,2024-01-16
9904209,259148000,HUELVA KNUTSEN,2022,Large Conventional LNG Carriers,170520,Norway,0,682080,4,98790,2022-12-21,2024-05-23
9761853,374816000,HYUNDAI PEACEPIA,2017,Large Conventional LNG Carriers,174000,Panama,0,2958000,17,532184,2020-05-17,2024-01-25
9761841,374219000,HYUNDAI PRINCEPIA,2017,Large Conventional LNG Carriers,174000,Panama,0,3132000,18,544930,2020-03-08,2024-04-23
9326603,257990000,IBERICA KNUTSEN,2006,Standard  Conventional LNG Carriers,138120,Norway,0,4143600,30,456591,2020-01-23,2024-03-26
9874820,241747000,ISABELLA,2021,Large Conventional LNG Carriers,160000,Greece,0,3200000,20,435762,2021-12-15,2024-05-20
9901350,241744000,JOHN A.ANGELICOUSSIS,2022,Large Conventional LNG Carriers,174000,Greece,0,5394000,31,403559,2022-05-17,2024-12-18
9373010,370612000,K. MUGUNGWHA,2008,Standard  Conventional LNG Carriers,151812,Panama,0,2732616,18,564931,2020-03-10,2024-09-15
9636723,229581000,KITA LNG,2014,Large Conventional LNG Carriers,159800,Malta,0,1757800,11,300219,2021-06-19,2024-04-19
9654878,636016376,KOOL BALTIC,2015,Large Conventional LNG Carriers,167062,Liberia,0,2672992,16,338005,2020-01-30,2024-08-26
9654880,636016378,KOOL BOREAS,2015,Large Conventional LNG Carriers,167158,Liberia,0,1671580,10,287457,2020-04-12,2024-04-04
9870525,636020078,KOOL ORCA,2021,Large Conventional LNG Carriers,170551,Liberia,0,2387714,14,351670,2021-07-04,2024-11-30
9306495,636021105,KPS LNG ANATOLIA,2006,Standard  Conventional LNG Carriers,154472,Liberia,0,0,0,0,,
9613161,477588600,KUMUL,2016,Large Conventional LNG Carriers,167000,Hong Kong,0,7181000,43,661821,2020-01-23,2024-10-09
9915911,477885400,KUNLUN,2023,Large Conventional LNG Carriers,174000,Hong Kong,0,1392000,8,222277,2023-05-15,2024-10-10
9721724,224444000,LA MANCHA KNUTSEN,2016,Large Conventional LNG Carriers,175000,Spain,0,3500000,20,502733,2020-03-30,2024-04-25
9922976,228421600,LECH KACZYNSKI,2022,Large Conventional LNG Carriers,174000,France,0,1566000,9,179197,2023-05-02,2024-08-15
9629598,538005073,LENA RIVER,2013,Standard  Conventional LNG Carriers,154880,Marshall Islands,0,1239040,8,195077,2020-10-08,2023-12-30
9388819,538003294,LIJMILIYA,2009,Q-Max,261700,Marshall Islands,0,9421200,36,666442,2020-02-22,2024-12-11
9690171,310731000,LNG ABALAMABIE,2016,Large Conventional LNG Carriers,170000,Bermuda,0,4930000,29,609252,2020-02-20,2024-12-15
9690169,310730000,LNG ABUJA II,2016,Large Conventional LNG Carriers,170000,Bermuda,0,4590000,26,567189,2021-01-21,2024-12-09
9262211,310469000,LNG ADAMAWA,2005,Standard  Conventional LNG Carriers,141000,Bermuda,0,2820000,20,452686,2020-11-09,2024-05-09
9870159,228391700,LNG ADVENTURE,2021,Large Conventional LNG Carriers,174000,France,0,2784000,16,337962,2021-07-21,2024-07-23
9262209,310453000,LNG AKWA IBOM,2004,Standard  Conventional LNG Carriers,141000,Bermuda,0,4371000,31,593485,2020-03-02,2024-11-13
9320075,538010704,LNG ALLIANCE,2007,Standard  Conventional LNG Carriers,154472,Marshall Islands,0,463416,3,83756,2023-08-31,2024-03-25
9241267,310381000,LNG BAYELSA,2003,Standard  Conventional LNG Carriers,137300,Bermuda,0,3432500,24,505979,2020-10-05,2024-12-15
9267015,310495000,LNG BENUE,2006,Standard  Conventional LNG Carriers,145952,Bermuda,0,4378560,30,569143,2020-03-17,2024-12-29
9692002,310720000,LNG BONNY II,2015,Large Conventional LNG Carriers,170000,Bermuda,0,6290000,37,694092,2020-03-19,2024-12-05
9322803,310543000,LNG BORNO,2007,Standard  Conventional LNG Carriers,149600,Bermuda,0,3141600,21,504257,2020-09-22,2024-04-01
9834296,477327900,LNG DUBHE,2019,Large Conventional LNG Carriers,174000,Hong Kong,0,3480000,20,568421,2020-09-08,2024-12-06
9893606,228408700,LNG ENDEAVOUR,2021,Large Conventional LNG Carriers,174000,France,0,2088000,12,256400,2021-12-11,2024-11-29
9874492,228400600,LNG ENDURANCE,2021,Large Conventional LNG Carriers,174000,France,0,1914000,11,258184,2022-01-23,2024-04-07
9874480,228399900,LNG ENTERPRISE,2021,Large Conventional LNG Carriers,174000,France,0,1914000,11,228273,2022-02-21,2024-04-28
9266994,310482000,LNG ENUGU,2005,Standard  Conventional LNG Carriers,145926,Bermuda,0,3502224,24,520956,2020-03-30,2024-11-30
